加权排名,原始排名,排名变化,Twitter用户名,显示名称,加权总分,原始总分,分数增幅%,出现次数,平均排名,最高排名,最低排名,官方认证,蓝V认证,粉丝数,相关产品列表
1061,992,-69,lordknight_ai,⚔️ 𝕷𝖔𝖗𝖉 𝕶𝖓𝖎𝖌𝖍𝖙 ⚔️,58.29,42.74,36.39,1,85.0,85,85,,,654,DALL-E 3
1062,1001,-61,funghibull,funghibull,58.23,41.90,38.99,1,87.0,87,87,✓,,63165,Midjourney v6
1063,1050,-13,denfaminicogame,電ファミニコゲーマー,58.11,38.29,51.77,1,96.0,96,96,✓,,1144406,Cursor
1064,1078,14,JiquanNgiam,Jiquan Ngiam,58.01,36.79,57.68,1,100.0,100,100,✓,,1302,ChatGPT Agent
1065,1099,34,mustafasuleyman,Mustafa Suleyman,57.67,34.77,65.85,3,218.7,185,244,✓,,170603,"GPT-5, GPT-5, GPT-5"
1066,1043,-23,NiteshNRane,Nitesh Rane,57.36,39.06,46.83,1,94.0,94,94,✓,,310229,Manus
1067,1004,-63,sapinker,Steven Pinker,57.13,41.48,37.73,1,88.0,88,88,✓,,855808,DALL-E 2
1068,1103,35,nizzyabi,nizzy,57.12,34.65,64.87,1,106.0,106,106,✓,,19674,Claude 4
1069,1125,56,cumulo_autumn,あき先生(Aki)💧しずくラボ局長,57.05,32.96,73.10,1,111.0,111,111,✓,,20991,Gemini 2.0 Flash
1070,1063,-7,DaTruthDT,DaTruthDT,56.96,37.53,51.77,1,98.0,98,98,✓,,270035,Cursor
1071,1049,-22,tomwarren,Tom Warren,56.95,38.29,48.73,3,206.3,197,220,✓,,281847,"GitHub Copilot, GitHub Copilot, Claude 4"
1072,1062,-10,hosseeb,Haseeb ＞|＜,56.84,37.55,51.38,5,394.4,109,499,✓,,127321,"Cursor, Cursor, GPT-4, GPT-4, GPT-4"
1073,1107,34,TBC_on_X,TBC,56.83,34.30,65.69,1,107.0,107,107,✓,,9244,Sora 2
1074,1097,23,fabiaanuch2,ꜰᴀʙɪᴀᴀɴᴜᴄʜ 🐉,56.81,34.99,62.36,1,105.0,105,105,,,2489,Veo 2
1075,1101,26,xennygrimmato_,Vaibhav Tulsyan,56.25,34.65,62.36,1,106.0,106,106,✓,,3426,Veo 2
1076,1108,32,genel_ai,GENEL | 動画生成AI,56.16,34.21,64.14,2,190.0,137,243,✓,,5636,"Midjourney v1, Gemini 2.0 Flash"
1077,1014,-63,mserdark,M. Serdar Kuzuloğlu,56.00,40.66,37.73,1,90.0,90,90,✓,,1338713,DALL-E 2
1078,1064,-14,MantaNetwork,"Manta Network (🔱,🔱)",55.95,37.53,49.07,1,98.0,98,98,,,760586,Stable Diffusion 3
1079,1059,-20,cjwerleman,CJ Werleman,55.66,37.91,46.83,1,97.0,97,97,✓,,385859,Manus
1080,1115,35,stevenbjohnson,Steven Johnson,55.52,33.96,63.48,1,108.0,108,108,✓,,1050706,Gemini 2.5
1081,1057,-24,tomgara,Tom Gara,55.47,37.91,46.32,1,97.0,97,97,✓,,65871,GPT-4
1082,1038,-44,panos_panay,Panos Panay,55.40,39.46,40.40,1,93.0,93,93,✓,,113123,Amazon Nova
1083,1072,-11,HuggingPapers,DailyPapers,55.39,37.16,49.07,1,99.0,99,99,,,6963,Stable Diffusion 3
1084,1098,14,eriktorenberg,Erik Torenberg,55.18,34.99,57.68,1,105.0,105,105,✓,,140232,ChatGPT Agent
1085,1113,28,futurepedia_io,Futurepedia - Learn to Leverage AI,55.14,33.96,62.36,1,108.0,108,108,✓,,7862,Veo 2
1086,1031,-55,Calibreus_,Zach Doehler,55.11,39.85,38.28,1,92.0,92,92,✓,,10552,Midjourney v1
1087,1066,-21,TFMsaad,"Mohamed ""TheFearMaster"" Saad (Commissions open)",55.11,37.53,46.83,1,98.0,98,98,,,12351,Manus
1088,1089,1,RobertHaisfield,Rob Haisfield,54.94,35.70,53.89,1,103.0,103,103,✓,,8974,Claude 3.5 Haiku
1089,1020,-69,nyamcot,nyamcot,54.90,40.25,36.39,1,91.0,91,91,,,5703,DALL-E 3
1090,1074,-16,latingle,Laura Tingle,54.56,37.16,46.83,1,99.0,99,99,,,252119,Manus
1091,1092,1,Yuchenj_UW,Yuchen Jin,54.49,35.50,53.49,5,278.4,209,344,✓,,57656,"GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5"
1092,1121,29,Philo2022,Philo,54.42,33.29,63.48,1,110.0,110,110,✓,,25472,Gemini 2.5
1093,1087,-6,Pengu,Pengu,54.18,35.70,51.77,1,103.0,103,103,,,257019,Cursor
1094,1056,-38,mignano,Michael Mignano,54.10,38.07,42.11,2,173.5,134,213,✓,,23910,"DALL-E 2, Cursor"
1095,1133,38,oozn,onur ozcan,54.06,32.63,65.69,1,112.0,112,112,✓,,55075,Sora 2
1096,1077,-19,CAPratikKarpe,Pratik Karpe,54.01,36.79,46.83,1,100.0,100,100,✓,,16278,Manus
1097,1126,29,tokenbender,tokenbender,53.88,32.96,63.48,1,111.0,111,111,✓,,10250,Gemini 2.5
1098,1051,-47,takaakikakei,筧剛彰 / Takaaki Kakei,53.76,38.29,40.40,1,96.0,96,96,✓,,675,Amazon Nova
1099,1079,-20,GuardianAus,Guardian Australia,53.73,36.59,46.83,3,326.3,108,458,,,358579,"Manus, Manus, Manus"
1100,1045,-55,zak_krevitt,žâķ,53.48,38.67,38.28,1,95.0,95,95,✓,,9241,Midjourney v1
1101,1127,26,burkeholland,Burke Holland,53.35,32.82,62.55,5,324.2,193,459,✓,,20602,"GitHub Copilot, GitHub Copilot, GPT-5, GPT-5, GPT-5"
1102,1132,30,TheAhmadOsman,Ahmad,53.34,32.63,63.48,1,112.0,112,112,✓,,24503,Gemini 2.5
1103,1118,15,vision_ia,VISION IA,53.29,33.51,59.04,3,309.0,128,500,✓,,9164,"GPT-5, ChatGPT Agent, Sora 2"
1104,1058,-46,us_stock_invest,ユーエスさん🇺🇸米国株投資🍺🥃🍷🍶⚽,53.22,37.91,40.40,1,97.0,97,97,✓,,61359,Amazon Nova
1105,1088,-17,InferiumAI,Inferium,53.22,35.70,49.07,1,103.0,103,103,✓,,123363,Stable Diffusion 3
1106,1102,-4,2022_technology,ぐれーぷ@最新テクノロジーまとめ垢,53.18,34.65,53.49,1,106.0,106,106,,,322,GPT-4.5
1107,1116,9,harshitagu72595,Harshita Gupta,53.01,33.62,57.68,1,109.0,109,109,✓,,17231,ChatGPT Agent
1108,1141,33,shushant_l,Shushant Lakhyani,52.99,32.14,64.90,5,309.0,190,464,✓,,62759,"Claude 4, Claude 4, Claude 4, Claude 4, GPT-5"
1109,1140,31,mitchliu,Mitch Liu | Theta Network,52.81,32.30,63.48,1,113.0,113,113,✓,,38320,Gemini 2.5
1110,1106,-4,GetLensNow,Lens,52.78,34.30,53.89,1,107.0,107,107,✓,,5843,Claude 3.5 Haiku
1111,1147,36,Yesterday_work_,Millie Marconi,52.73,31.98,64.87,1,114.0,114,114,✓,,9288,Claude 4
1112,1135,23,TechByMarkandey,Markandey Sharma,52.55,32.42,62.08,7,342.3,196,484,✓,,62345,"Veo 2, Veo 2, Manus, Claude 4, Claude 4, Claude 4, GPT-5"
1113,1139,26,wberrydelirium,lene ⋆ THE LIFE OF A SHOWGIRL,52.45,32.30,62.36,1,113.0,113,113,,,842,Veo 2
1114,1090,-24,Ivarpi,Ivar Arpi,52.42,35.70,46.83,1,103.0,103,103,✓,,163403,Manus
1115,1112,-3,Shoalst0ne,Shoalstone,52.26,33.96,53.89,1,108.0,108,108,✓,,5312,Claude 3.5 Haiku
1116,1114,-2,JeffLadish,Jeffrey Ladish,52.12,33.96,53.49,1,108.0,108,108,✓,,14468,GPT-4.5
1117,1153,36,Dimillian,Thomas Ricouard,51.69,31.35,64.87,1,116.0,116,116,✓,,25122,Claude 4
1118,1110,-8,RatedRCope,Adam Copeland,51.54,33.96,51.77,1,108.0,108,108,✓,,1485165,Cursor
1119,1120,1,keshavchan,keshav,51.22,33.29,53.89,1,110.0,110,110,✓,,18998,Claude 3.5 Haiku
1120,1071,-49,dlberes,Damon Beres,51.18,37.16,37.73,1,99.0,99,99,,,11509,DALL-E 2
1121,1105,-16,radamar,Radamés Ajna,51.13,34.30,49.07,1,107.0,107,107,✓,,6952,Stable Diffusion 3
1122,1175,53,9to5Google,9to5Google,51.08,30.03,70.09,6,341.7,218,460,✓,,203413,"Gemini 2.0 Flash, Gemini 2.0 Flash, Veo 2, Veo 2, Veo 2, Veo 2"
1123,1128,5,diegocabezas01,Diego | AI 🚀 - e/acc,51.04,32.77,55.75,4,286.0,181,448,✓,,2815,"Veo 2, GPT-4.5, ChatGPT Agent, ChatGPT Agent"
1124,1162,38,egeberkina,Ege,50.97,30.50,67.11,2,215.5,138,293,✓,,25271,"Gemini 2.0 Flash, GPT-5"
1125,1152,27,techwithiza,iza | tech girl 💻,50.90,31.35,62.36,1,116.0,116,116,,,4120,Veo 2
1126,1076,-50,MagicEden,Magic Eden 🪄,50.67,36.79,37.73,1,100.0,100,100,✓,,825046,DALL-E 2
1127,1134,7,LelloucheNico,Nicolas Lellouche,50.19,32.42,54.81,4,323.2,141,481,✓,,16339,"GPT-4, Veo 2, GPT-4.5, GPT-5"
1128,1174,46,SD73660,Sandy,49.90,30.12,65.69,1,120.0,120,120,,,24233,Sora 2
1129,1161,32,anderzuelan,Ander A. 🇻🇪 🇵🇸,49.89,30.73,62.36,1,118.0,118,118,,,2371,Veo 2
1130,1169,39,Ubermenscchh,Hasan,49.75,30.32,64.12,6,340.7,228,477,✓,,48166,"Veo 2, Claude 4, Claude 4, Claude 4, Claude 4, GPT-5"
1131,1084,-47,Cosmopolitan,Cosmopolitan,49.67,36.06,37.73,1,102.0,102,102,✓,,1463181,DALL-E 2
1132,1172,40,naifco,نايفكو NAIF,49.66,30.12,64.87,1,120.0,120,120,✓,,809813,Claude 4
1133,1094,-39,TysonLester,"Tyson Lester, MBA, ChHC®, REBC®, RHU®",49.63,35.35,40.40,1,104.0,104,104,✓,,89641,Amazon Nova
1134,1177,43,minara_ai,Minara AI,49.16,29.82,64.87,1,121.0,121,121,✓,,73240,Claude 4
1135,1145,10,aiwarts,卡尔的AI沃茨,49.09,31.98,53.49,1,114.0,114,114,✓,,10367,GPT-4.5
1136,1137,1,sama,Sam Altman,49.03,32.30,51.77,1,113.0,113,113,✓,,4016878,Cursor
1137,1156,19,jointrw_,THE REAL WORLD,48.94,31.04,57.68,1,117.0,117,117,✓,,174733,ChatGPT Agent
1138,1119,-19,murpharoo,Katharine Murphy,48.92,33.32,46.83,2,179.5,172,187,,,235432,"Manus, Manus"
1139,1182,43,VermaAakash3,Aakash Verma,48.68,29.52,64.87,1,122.0,122,122,✓,,13993,Claude 4
1140,1218,78,Blankwonder,Yachen Liu,48.61,28.08,73.10,1,127.0,127,127,✓,,59494,Gemini 2.0 Flash
1141,1093,-48,Hipertextual,Hipertextual,48.21,35.35,36.39,1,104.0,104,104,,,935499,DALL-E 3
1142,1096,-46,Burgos,Pedro Burgos,48.20,34.99,37.73,1,105.0,105,105,✓,,18857,DALL-E 2
1143,1194,51,iamaheron_,heron,47.95,28.94,65.69,1,124.0,124,124,,,4572,Sora 2
1144,1181,37,edwar_lopez08,Edwar Lopez,47.93,29.52,62.36,1,122.0,122,122,,,10,Veo 2
1145,1131,-14,yatagarasu_meru,八咫烏 Merui,47.91,32.63,46.83,1,112.0,112,112,✓,,27271,Manus
1146,1100,-46,rleshner,Robert Leshner,47.72,34.65,37.73,1,106.0,106,106,✓,,132392,DALL-E 2
1147,1111,-36,rayofhopejp,Ray Oshikawa,47.68,33.96,40.40,1,108.0,108,108,,,1166,Amazon Nova
1148,1143,-5,MatiusTrader,Matius,47.68,31.98,49.07,1,114.0,114,114,✓,,668,Stable Diffusion 3
1149,1235,86,MooenyChu,穆尼,47.65,27.53,73.10,1,129.0,129,129,✓,,33120,Gemini 2.0 Flash
1150,1173,23,codedailyML,Neel Shah,47.49,30.12,57.68,1,120.0,120,120,✓,,25346,ChatGPT Agent
1151,1204,53,zeng_wt,𝐙𝐞𝐧𝐠 💜,47.47,28.65,65.69,1,125.0,125,125,✓,,6019,Sora 2
1152,1188,36,joshwoodward,Josh Woodward,47.46,29.23,62.36,1,123.0,123,123,✓,,31680,Veo 2
1153,1104,-49,0xRayJ,Ray J,47.24,34.30,37.73,1,107.0,107,107,✓,,4499,DALL-E 2
1154,1202,48,yoshio_nocode,スモビジ開発ラボ,47.24,28.65,64.87,1,125.0,125,125,✓,,14587,Claude 4
1155,1149,-6,itsandrewgao,andrew gao,47.20,31.66,49.07,1,115.0,115,115,✓,,40229,Stable Diffusion 3
1156,1243,87,realcadew,Cade Wilson,47.17,27.25,73.10,1,130.0,130,130,✓,,934,Gemini 2.0 Flash
1157,1142,-15,lenoretaylor,Lenore Taylor,47.17,32.12,46.83,3,249.3,181,364,,,146520,"Manus, Manus, Manus"
1158,1206,48,BrundageCabins,Martin_DeVido,47.10,28.44,65.61,2,211.0,153,269,✓,,488,"Claude 4, GPT-5"
1159,1157,-2,klarnaseb,Sebastian Siemiatkowski,47.09,30.79,52.91,2,239.5,128,351,✓,,42532,"Cursor, Gemini 2.5"
1160,1192,32,FootNes,Ernestö,46.98,28.94,62.36,1,124.0,124,124,,,12044,Veo 2
1161,1146,-15,SenatorThorpe,Senator Lidia Thorpe,46.96,31.98,46.83,1,114.0,114,114,,,57580,Manus
1162,1223,61,Geek_Alerts,Geek Alerts,46.95,27.89,68.36,3,255.7,193,346,,,8649,"Gemini 2.0 Flash, Veo 2, Gemini 2.5"
1163,1165,2,websim_ai,websim,46.82,30.42,53.89,1,119.0,119,119,✓,,11408,Claude 3.5 Haiku
1164,1109,-55,NevoTrabelsy,Nevo Trabelsy || נבו טרבלסי,46.77,33.96,37.73,1,108.0,108,108,✓,,3543,DALL-E 2
1165,1210,45,UltimaHoracom,Última Hora,46.77,28.37,64.87,1,126.0,126,126,✓,,1363571,Claude 4
1166,1212,46,Preda2005,Marcio Lima 利真 マルシオ 💎,46.76,28.22,65.69,3,330.7,137,441,✓,,61462,"Sora 2, Sora 2, Sora 2"
1167,1117,-50,martinfowler,Martin Fowler,46.75,33.52,39.48,3,301.7,127,468,✓,,353212,"GitHub Copilot, GitHub Copilot, GitHub Copilot"
1168,1166,-2,genkAIjokyo,限界助教|ChatGPT/Claude/Geminiで論文作成と科研費申請,46.70,30.42,53.49,1,119.0,119,119,✓,,20300,GPT-4.5
1169,1159,-10,CDPRED_Support,CD PROJEKT RED CS,46.64,30.73,51.77,1,118.0,118,118,✓,,27327,Cursor
1170,1221,51,maxxmalist,MAX,46.53,28.08,65.69,1,127.0,127,127,✓,,7206,Sora 2
1171,1151,-20,Matrixdragonn,Matrix🐉,46.49,31.66,46.83,1,115.0,115,115,,,9023,Manus
1172,1124,-48,_kimunao,Naoto Kimura ☁️,46.27,32.96,40.40,1,111.0,111,111,,,510,Amazon Nova
1173,1155,-18,aliy_almustapha,Engr Aliyu 🧢🧢,46.27,31.04,49.07,1,117.0,117,117,✓,,3189,Stable Diffusion 3
1174,1122,-52,VentureCoinist,Luke Martin,46.24,33.06,39.85,2,213.5,127,300,✓,,330093,"DALL-E 2, Cursor"
1175,1222,47,code_bykuti,marium,46.23,28.04,64.87,4,290.5,192,384,✓,,24256,"Claude 4, Claude 4, Claude 4, Claude 4"
1176,1171,-5,stenichele,Stefano Nichele,46.23,30.12,53.49,1,120.0,120,120,,,1877,GPT-4.5
1177,1254,77,AITechnoPagan,La Main de la Mort,46.12,26.64,73.10,2,239.0,147,331,✓,,6330,"Gemini 2.0 Flash, Gemini 2.0 Flash"
1178,1176,-2,chronos_zhou,Elowen,45.98,29.95,53.49,3,284.3,178,464,,,49,"GPT-4.5, GPT-4.5, GPT-4.5"
1179,1219,40,Tz_2022,Tz,45.91,28.08,63.48,1,127.0,127,127,✓,,7497,Gemini 2.5
1180,1130,-50,serverworks,サーバーワークス,45.81,32.63,40.40,1,112.0,112,112,,,3606,Amazon Nova
1181,1154,-27,mattyglesias,Matthew Yglesias,45.81,31.05,47.55,3,271.0,150,394,✓,,549646,"GPT-4, GPT-4, GPT-5"
1182,1239,57,OscarHealth,Oscar,45.65,27.53,65.85,1,129.0,129,129,✓,,22982,GPT-5
1183,1193,10,laurenmhreeder,Lauren Reeder,45.63,28.94,57.68,1,124.0,124,124,✓,,5220,ChatGPT Agent
1184,1230,46,ameliamaya98,Amelia Maya,45.56,27.63,64.90,4,300.0,234,473,✓,,13158,"Claude 4, Claude 4, Claude 4, GPT-5"
1185,1168,-17,msdevjp,Microsoft Tech,45.54,30.33,50.12,2,190.5,171,210,✓,,185618,"GitHub Copilot, GPT-5"
1186,1205,19,xxxxxxxxsora,そら,45.52,28.57,59.32,2,209.0,154,264,✓,,753,"Manus, Gemini 2.5"
1187,1129,-58,dee_bosa,Deirdre Bosa,45.51,32.63,39.48,1,112.0,112,112,✓,,62532,GitHub Copilot
1188,1229,41,JaynitMakwana,Jaynit Makwana,45.51,27.72,64.15,7,378.3,236,481,✓,,50093,"Veo 2, GPT-4.5, GPT-4.5, Claude 4, Claude 4, Claude 4, GPT-5"
1189,1231,42,anjum_ai,Tanvir,45.46,27.58,64.87,3,280.3,170,415,✓,,5394,"Claude 4, Claude 4, Claude 4"
1190,1123,-67,alphabatcher,Alpha Batcher,45.39,32.96,37.73,1,111.0,111,111,✓,,50924,DALL-E 2
1191,1238,47,aftahi_ai,Aftahi Rahman,45.38,27.53,64.87,1,129.0,129,129,✓,,19486,Claude 4
1192,1138,-54,epictrades1,The Inner Circle Trading Group DP David Prince,45.35,32.30,40.40,1,113.0,113,113,✓,,46049,Amazon Nova
1193,1264,71,Gorden_Sun,Gorden Sun,45.32,26.18,73.10,1,134.0,134,134,✓,,35208,Gemini 2.0 Flash
1194,1183,-11,Holy_fox_LLM,ほーりーふぉっくす,45.21,29.46,53.49,5,362.8,150,466,,,4236,"GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5, GPT-4.5"
1195,1245,50,RhysSullivan,Rhys,45.20,27.25,65.85,1,130.0,130,130,✓,,19740,GPT-5
1196,1203,7,LuizaJarovsky,"Luiza Jarovsky, PhD",45.18,28.65,57.68,1,125.0,125,125,✓,,20566,ChatGPT Agent
1197,1246,49,BAN212737154080,【低浮上】晴・ムーアペソローズ,45.16,27.25,65.69,1,130.0,130,130,,,611,Sora 2
1198,1227,29,IvanMauricioMX,El Ivan Mauricio,45.14,27.80,62.36,1,128.0,128,128,,,64,Veo 2
1199,1189,-10,mirzaei_mani,Mani,45.07,29.22,54.26,2,287.5,127,448,,,3035,"Claude 3.5 Haiku, Gemini 2.5"
1200,1136,-64,dalmaer,Dion Almaer,45.06,32.30,39.48,1,113.0,113,113,✓,,27373,GitHub Copilot
1201,1241,40,AfiyatNoor,Afiyat Noor,45.01,27.30,64.87,2,199.5,191,208,✓,,12130,"Claude 4, Claude 4"
1202,1237,35,rmstein,Robby Stein,45.00,27.53,63.48,1,129.0,129,129,✓,,8993,Gemini 2.5
1203,1148,-55,patrick_oshag,Patrick OShaughnessy,44.97,31.93,40.85,3,297.0,130,412,✓,,292703,"DALL-E 2, GPT-4, GPT-5"
1204,1144,-60,cryptonymics,Cryptonymics🍎🚀,44.90,31.98,40.40,1,114.0,114,114,✓,,874,Amazon Nova
1205,1170,-35,mhdfaran,Farhan,44.90,30.12,49.07,1,120.0,120,120,✓,,77687,Stable Diffusion 3
1206,1211,5,sarahdingwang,Sarah Wang,44.73,28.37,57.68,1,126.0,126,126,✓,,13148,ChatGPT Agent
1207,1167,-40,singhvarun,Singh Varun,44.67,30.42,46.83,1,119.0,119,119,✓,,57241,Manus
1208,1224,16,RafikSmati,Rafik Smati,44.57,27.87,59.90,2,228.5,145,312,✓,,53053,"Veo 2, Manus"
1209,1191,-18,awscloud,Amazon Web Services,44.53,28.94,53.89,1,124.0,124,124,✓,,2235488,Claude 3.5 Haiku
1210,1150,-60,recat_125,れにゃ。,44.46,31.66,40.40,1,115.0,115,115,,,727,Amazon Nova
1211,1214,3,xanderatallah,Alex Atallah,44.44,28.14,57.91,4,331.0,199,481,✓,,52433,"GPT-4, GPT-4.5, Gemini 2.5, GPT-5"
1212,1186,-26,nexta_tv,NEXTA,44.36,29.23,51.77,1,123.0,123,123,✓,,1273213,Cursor
1213,1252,39,IOHK_Charles,Charles Hoskinson,44.30,26.71,65.85,1,132.0,132,132,✓,,1067438,GPT-5
1214,1220,6,wangzjeff,Jeffrey Wang,44.28,28.08,57.68,1,127.0,127,127,✓,,13722,ChatGPT Agent
1215,1253,38,berryxia_ai,Berryxia.AI,44.26,26.71,65.69,1,132.0,132,132,✓,,8517,Sora 2
1216,1190,-26,Terroriser,Terroriser,43.92,28.94,51.77,1,124.0,124,124,✓,,1388572,Cursor
1217,1274,57,whatafactukr,WTF_ukr,43.88,25.68,70.88,2,226.5,159,294,,,3715,"Gemini 2.0 Flash, Veo 2"
1218,1196,-22,HarryStebbings,Harry Stebbings,43.66,28.76,51.77,7,331.1,281,432,✓,,300243,"Cursor, Cursor, Cursor, Cursor, Cursor, Cursor, Cursor"
1219,1197,-22,kikollan,Kiko Llaneras,43.64,28.75,51.77,2,199.0,167,231,✓,,103142,"Cursor, Cursor"
1220,1187,-33,HopiumPapi,Erik Stevens 🐆,43.57,29.23,49.07,1,123.0,123,123,✓,,125708,Stable Diffusion 3
1221,1199,-22,PoojaMedia,POOJA!!!,43.48,28.65,51.77,1,125.0,125,125,✓,,946213,Cursor
1222,1240,18,mluggy,Michael Lugassy,43.40,27.53,57.68,1,129.0,129,129,✓,,6656,ChatGPT Agent
1223,1267,44,jazayerli,Rany Jazayerli,43.39,26.18,65.69,1,134.0,134,134,,,49360,Sora 2
1224,1160,-64,RohitPrasadAI,Rohit Prasad,43.14,30.73,40.40,1,118.0,118,118,✓,,383,Amazon Nova
1225,1257,32,AssembleDebug,AssembleDebug (Shiv),43.06,26.52,62.36,2,263.5,141,386,,,6267,"Veo 2, Veo 2"
1226,1250,24,AIwithGhotai,Kalsoom (ghotai ),42.81,26.86,59.36,2,217.5,158,277,✓,,51893,"Claude 4, ChatGPT Agent"
1227,1164,-63,awswhatsnew,What's New on AWS (Unofficial),42.71,30.42,40.40,1,119.0,119,119,,,30598,Amazon Nova
1228,1200,-28,liquidloansio,LiquidLoans.io – True DeFi Liquidity,42.71,28.65,49.07,1,125.0,125,125,✓,,18349,Stable Diffusion 3
1229,1216,-13,sarahellison,Sarah Ellison,42.62,28.08,51.77,1,127.0,127,127,,,21066,Cursor
1230,1278,48,VoidStateKate,VOID,42.53,25.67,65.69,1,136.0,136,136,,,3051,Sora 2
1231,1236,5,gosrum,金のニワトリ,42.36,27.53,53.89,1,129.0,129,129,✓,,2343,Claude 3.5 Haiku
1232,1195,-37,Pontifex266_ln,Papa Franciscus – ARCHIVUM,42.34,28.84,46.83,5,285.8,270,297,✓,,1014502,"Manus, Manus, Manus, Manus, Manus"
1233,1207,-26,swiat_ai,Świat AI,42.32,28.39,49.07,3,243.0,196,290,✓,,33798,"Stable Diffusion 3, Stable Diffusion 3, Stable Diffusion 3"
1234,1158,-76,kyletwebster,Kyle T Webster,42.32,30.73,37.73,1,118.0,118,118,,,52278,DALL-E 2
1235,1273,38,Damn_coder,D-Coder,42.30,25.78,64.09,6,343.0,267,487,✓,,101286,"GPT-4.5, Gemini 2.5, Gemini 2.5, Claude 4, Claude 4, Claude 4"
1236,1209,-27,LFJ_gg,LFJ.gg,42.29,28.37,49.07,1,126.0,126,126,✓,,382069,Stable Diffusion 3
1237,1244,7,AIlife2024ka,KAZU@AIで＋1へ,41.94,27.25,53.89,1,130.0,130,130,✓,,781,Claude 3.5 Haiku
1238,1163,-75,bernabephoto,Richard Bernabe,41.90,30.42,37.73,1,119.0,119,119,✓,,996231,DALL-E 2
1239,1299,60,riddi0908,まゆひらa,41.87,24.55,70.53,3,287.0,171,364,✓,,1928,"Stable Diffusion 3, Gemini 2.0 Flash, Gemini 2.0 Flash"
1240,1217,-23,gregosuri,Greg Osuri 🇺🇸,41.86,28.08,49.07,1,127.0,127,127,✓,,50248,Stable Diffusion 3
1241,1233,-8,broderick,Ryan Broderick,41.78,27.53,51.77,1,129.0,129,129,,,69317,Cursor
1242,1258,16,AndrewBolis,Andrew Bolis,41.70,26.45,57.68,1,133.0,133,133,✓,,176550,ChatGPT Agent
1243,1279,36,sengpt,sengpt,41.68,25.50,63.48,4,308.5,200,402,✓,,26727,"Gemini 2.5, Gemini 2.5, Gemini 2.5, Gemini 2.5"
1244,1287,43,MindBodyIsLife,MindBodyIsLife,41.48,25.16,64.87,1,138.0,138,138,✓,,197648,Claude 4
1245,1180,-65,kazuneet,Kazuhito Go 🌗 😇,41.45,29.52,40.40,1,122.0,122,122,,,1078,Amazon Nova
1246,1225,-21,NetMindAI,NetMind.AI,41.45,27.80,49.07,1,128.0,128,128,✓,,50384,Stable Diffusion 3
1247,1261,14,ai_ctrl,ControlAI,41.29,26.19,57.68,2,216.5,164,269,,,16552,"ChatGPT Agent, ChatGPT Agent"
1248,1266,18,vivbajaj,Learner Vivek Bajaj,41.29,26.18,57.68,1,134.0,134,134,✓,,556786,ChatGPT Agent
1249,1282,33,AlexHollings52,Alex Hollings,41.26,25.41,62.36,1,137.0,137,137,✓,,21366,Veo 2
1250,1234,-16,pixelprotest_,Jeroen Pixel,41.04,27.53,49.07,1,129.0,129,129,,,2800,Stable Diffusion 3
1251,1272,21,kaifulee,Kai-Fu Lee,40.88,25.92,57.68,1,135.0,135,135,✓,,1433889,ChatGPT Agent
1252,1178,-74,h64g_,h64g,40.87,29.55,38.28,2,211.0,146,276,✓,,3473,"Midjourney v1, Midjourney v1"
1253,1286,33,GoogleArabia,GoogleArabia,40.85,25.16,62.36,1,138.0,138,138,✓,,3198900,Veo 2
1254,1228,-26,DohaDebates,Doha Debates,40.82,27.80,46.83,1,128.0,128,128,✓,,1341641,Manus
1255,1291,36,Alex_Inspira,Alexander Inspira IA,40.68,24.67,64.87,3,257.7,212,311,✓,,73119,"Claude 4, Claude 4, Claude 4"
1256,1179,-77,AntonioCasilli,Casilli,40.66,29.52,37.73,1,122.0,122,122,,,19605,DALL-E 2
1257,1277,20,philosophysage,Philosophy Sage,40.47,25.67,57.68,1,136.0,136,136,✓,,266722,ChatGPT Agent
1258,1184,-74,PaulTassi,Paul Tassi,40.42,29.23,38.28,1,123.0,123,123,,,214372,Midjourney v1
1259,1255,-4,agazdecki,Andrew Gazdecki,40.30,26.55,51.77,3,257.0,210,340,✓,,271505,"Cursor, Cursor, Cursor"
1260,1265,5,amritwt,amrit,40.29,26.18,53.89,1,134.0,134,134,✓,,32684,Claude 3.5 Haiku
1261,1185,-76,EliotHiggins,@eliothiggins.bsky.social,40.26,29.23,37.73,1,123.0,123,123,✓,,291516,DALL-E 2
1262,1201,-61,chris_j_paxton,Chris Paxton,40.23,28.65,40.40,1,125.0,125,125,✓,,20206,Amazon Nova
1263,1283,20,GitHubJapan,GitHub Japan,40.22,25.41,58.28,2,221.5,165,278,✓,,32569,"Gemini 2.0 Flash, GPT-4.5"
1264,1311,47,TheoMediaAI,Theoretically Media,40.05,24.17,65.69,1,142.0,142,142,✓,,8627,Sora 2
1265,1295,30,GoogleWorkspace,Google Workspace,40.04,24.66,62.36,1,140.0,140,140,✓,,1053951,Veo 2
1266,1247,-19,artistpotoq,Alex Potorochin I comms open,39.96,27.22,46.83,2,217.0,156,278,,,2970,"Manus, Manus"
1267,1309,42,aivanlogic,Ivan | AI | Automation,39.85,24.17,64.87,1,142.0,142,142,✓,,5755,Claude 4
1268,1249,-19,onigiriice,rice 🍙,39.62,26.98,46.83,1,131.0,131,131,,,2270,Manus
